,Fundos,Setor,Liquidez Diária (R$),P/VP,Dividend Yield,Variação Preço,Patrimônio Líquido,Num. Cotistas
207,HSRE11,Misto,3117840.14,105.0,0.0123,0.0101,815276781.05,320
208,HTMX11,Hotéis,1662267.19,118.0,0.0225,-0.1748,199427707.41,35467
209,HUCG11,Hospitalar,1031.19,84.0,0.002,0.08,116235972.27,245
210,HUSC11,Hospitalar,7081.48,65.0,0.0085,-0.0195,129170752.92,757
211,HUSI11,Hospitalar,5810.0,102.0,0.0070999999999999995,0.0,138429144.75,103
212,IAAG11,Indefinido,207914.67,73.0,0.0115,-0.0564,100989892.33,13263
213,IAGR11,Indefinido,14691.24,40.0,0.0021,-0.0836,18159404.14,4017
214,IBCR11,Papéis,106598.0,60.0,0.0138,0.0366,91259177.91,3863
215,IBFF11,Fundo de Fundos,162549.5,104.0,0.0,0.0,118155565.38,8102
216,ICNE11,Imóveis Residenciais,0.0,81.0,0.0004,-0.021400000000000002,96679893.15,5
217,ICRI11,Misto,1155705.95,81.0,0.015300000000000001,-0.004699999999999999,384571221.94,6336
218,IDFI11,Indefinido,2592.8,125.0,0.7804000000000001,-0.5434,3283391.87,617
219,IDGR11,Misto,1194.38,69.0,0.2379,-0.31079999999999997,2249712.09,154
220,IDUA11,Imóveis Comerciais - Outros,0.0,84.0,0.013600000000000001,-0.0262,30684369.46,2
221,IFRA11,Indefinido,2914894.29,0.0,0.0105,-0.0447,0.0,0
222,IFRI11,Misto,3578761.52,0.0,0.0109,-0.052000000000000005,0.0,0
223,IMOV11,Indefinido,0.0,0.0,0.0,0.0,480204850.95,13027
224,INFA11,Outros,0.0,0.0,0.008,0.0,0.0,0
225,INFB11,Indefinido,31855.95,0.0,0.0103,-0.0489,0.0,0
226,INLG11,Imóveis Industriais e Logísticos,378255.43,64.0,0.0109,-0.057999999999999996,457171677.92,19183
227,INRD11,Fundo de Desenvolvimento,57614.57,55.0,0.0087,-0.0341,132968746.75,7962
