Fundos,Setor,Liquidez Diária (R$),P/VP,Dividend Yield,Variação Preço,Patrimônio Líquido,Num. Cotistas
FLCR11,Papéis,"238.907,48",100.0,"1,19 %","0,75 %","60.827.956,70",3.147
FLFL11,Fundo de Desenvolvimento,,,"0,00 %","0,00 %","492.279.207,23",1
FLMA11,Lajes Corporativas,"69.367,33",60.0,"0,90 %","-0,20 %","300.246.024,16",13.285
FLRP11,Shoppings,"19.799,57",83.0,"0,69 %","-3,83 %","164.734.569,18",811
FMOF11,Lajes Corporativas,724,43.0,"0,93 %","0,00 %","59.680.480,65",260
FPAB11,Lajes Corporativas,"10.514,24",58.0,"0,61 %","-11,21 %","256.485.958,16",778
FRHY11,Indefinido,,,"0,00 %","0,00 %","2.349.387,59",7
FVPQ11,Shoppings,"108.240,57",23.0,"0,63 %","-22,97 %","534.020.574,02",4.161
FZDA11,Indefinido,"8.902,52",70.0,"0,83 %","6,72 %","266.843.931,24",361
FZDB11,Indefinido,"4.140,33",73.0,"3,49 %","0,00 %","607.279.396,16",105
GAME11,Indefinido,"144.129,05",85.0,"1,07 %","-3,44 %","206.002.084,97",24.143
GARE11,Imóveis Industriais e Logísticos,"7.595.904,00",90.0,"1,03 %","-1,55 %","1.133.131.462,28",272.842
GCFF11,Fundo de Fundos,"87.694,83",109.0,"0,00 %","0,00 %","118.155.565,38",8.102
GCOI11,Indefinido,70705,104.0,"0,00 %","0,00 %","10.726.744,06",354
GCRA11,Indefinido,"199.627,71",46.0,"1,37 %","-11,87 %","151.755.928,34",8.093
GCRI11,Papéis,"141.133,52",65.0,"1,45 %","-7,79 %","131.729.433,58",4.490
GESE11B,Educacional,,2382.0,"0,00 %","0,00 %","118.155.565,38",8.102
GGRC11,Imóveis Industriais e Logísticos,"1.837.297,14",72.0,"1,00 %","-1,38 %","1.387.883.000,20",132.517
GLOG11,Imóveis Industriais e Logísticos,"124.908,00",52.0,"0,89 %","-2,74 %","81.411.012,08",2.305
GRUL11,Logística,"529.307,86",76.0,"1,39 %","-8,00 %","236.444.620,00",4.298
GRWA11,Indefinido,"16.875,10",83.0,"1,18 %","-3,09 %","27.692.881,64",2.602
GSFI11,Shoppings,"1.547.490,57",55.0,"0,03 %","0,00 %","1.278.991.812,78",7.136
GTLG11,Imóveis Industriais e Logísticos,"22.885,25",100.0,"0,00 %","0,00 %","118.155.565,38",8.102
GTWR11,Lajes Corporativas,"1.142.490,57",70.0,"1,09 %","-2,01 %","1.217.668.435,33",41.327
GURB11,Indefinido,"5.000.076,00",93.0,"0,65 %","0,00 %","131.207.174,94",1
GZIT11,Indefinido,"478.104,33",43.0,"1,69 %","-2,75 %","2.070.008.539,59",5.122
HAAA11,Lajes Corporativas,"1.573,86",38.0,"0,24 %","0,18 %","258.319.283,19",244
HABT11,Papéis,"1.614.935,71",74.0,"1,36 %","-7,23 %","770.705.858,88",67.508
HBCR11,Indefinido,"12.613.181,86",106.0,"0,74 %","0,59 %","206.043.753,12",38
HBRH11,Lajes Corporativas,"14.627,00",80.0,"0,55 %","1,00 %","316.852.348,31",720
HCHG11,Papéis,"72.100,67",78.0,"1,08 %","-5,22 %","112.496.713,78",733
HCRA11,Indefinido,"32.281,00",,"0,94 %","-1,07 %",,0
HCRI11,Hospitalar,"44.026,57",82.0,"1,05 %","5,66 %","64.294.457,42",3.147
HCTR11,Papéis,"1.457.209,57",16.0,"1,33 %","-3,20 %","2.524.337.724,19",154.617
HDEL11,Imóveis Industriais e Logísticos,"9.093,29",116.0,"9,18 %","0,00 %","71.100.832,85",114
HFOF11,Fundo de Fundos,"2.830.097,71",75.0,"0,96 %","-9,22 %","1.653.617.236,10",73.736
HGAG11,Indefinido,"2.850,38",55.0,"0,87 %","-14,28 %","5.856.579,07",1.243
HGBL11,Misto,"150.370,52",104.0,"1,36 %","0,00 %","118.884.835,34",2.618
HGBS11,Shoppings,"3.178.693,86",81.0,"0,83 %","-1,52 %","2.857.651.954,31",125.953
HGCR11,Papéis,"4.384.695,71",93.0,"0,99 %","-0,86 %","1.504.118.822,11",100.567
HGFF11,Fundo de Fundos,"403.014,48",82.0,"0,96 %","-3,86 %","229.606.159,38",14.981
HGIC11,Papéis,"4.105,24",80.0,"1,12 %","-5,22 %","51.784.267,46",461
HGLG11,Imóveis Industriais e Logísticos,"9.011.845,05",97.0,"0,73 %","-1,29 %","5.279.191.713,68",490.351
HGPO11,Lajes Corporativas,"568.563,24",78.0,"48,22 %","5,05 %","272.797.070,85",10.975
HGRE11,Lajes Corporativas,"1.691.578,71",64.0,"0,77 %","-3,47 %","1.809.562.333,47",146.043
HGRS11,Imóveis Residenciais,,,"0,00 %","0,00 %","118.155.565,38",8.102
HGRU11,Misto,"6.143.491,71",89.0,"0,78 %","-4,40 %","2.889.058.703,09",208.651
HILG11,Indefinido,943,105.0,"0,00 %","0,00 %","98.871.375,58",51
HLOG11,Imóveis Industriais e Logísticos,"81.193,43",68.0,"0,48 %","-0,27 %","490.687.724,40",3.671
HOFC11,Lajes Corporativas,"106.927,52",31.0,"0,65 %","73,83 %","265.352.814,35",5.281
HOSI11,Imóveis Residenciais,"47.771,52",90.0,"0,67 %","2,79 %","52.947.987,14",1.332
HPDP11,Shoppings,"13.524,05",87.0,"0,60 %","-0,31 %","313.998.094,37",398
